en;it;es;Fr
Ahah! Stupid hero! We meet again!;Ahah! Stupido eroe! Ci si rivede!;Jaja! Heroe estúpido! Nos volveremos a encontrar!;Ah ah ! Stupide héros ! Comme on se retrouve !
\nb[OURHERO]Didn't I defeat you already?§You should be dead!;\nb[NOSTROEROE]Io ti avevo fatto fuori!;\nb[NUESTROHEROE]No te he vencido ya?§Deberías estar muerto!;\nb[NOTREHEROS]Ne t'ai-je pas déjà vaincu ?§Tu devrais être mort !
As long as we have the Teorhemas Crystal, we won't§stay that way for long!;Purtroppo per te non puoi eliminare nessuno finchè§il Cristallo di Teorhemas è nelle nostre mani!;¡Desafortunadamente para ti no puedes eliminar a§nadie mientras el Cristal de Teorhemas esté en§nuestras manos!;Tant que nous avons le Cristal de Teorhemas, nous§ne resterons ainsi très longtemps !
Finalboss brought me back better than I've ever§been!\|§Stap up and face me, Ourhero!;Bossfinale mi ha riportato in vita, ed ora sono più§forte che mai!\|§Fatti sotto, Nostroeroe!;El Jefefinal me devolvió a la vida, y ahora mas fuerte§que nunca!\|§Atrévete a enfrentarme Nuestroheroe!;Bossfinal m'a ressuscité en bien meilleure forme que§je ne l'ai jamais été !\|§En garde et bats-toi, Notrehéros !
\nb[SAGE]You have to kill the boss first!;\nb[SAGGIO]Devi prima sconfiggere il boss!;\nb[SABIO]Primero tienes que matar al jefe!;\nb[SAGE]Tu dois d'abord tuer le boss !
\nb[SAGE]Hey! Do you like my whimsy color scheme?;\nb[SAGGIO]Hey! Ti piace il mio colorito fatato?;\nb[SABIO]Oye! Te gusta mi extravagante combinacion de§colores?;\nb[SAGE]Hé ! Tu aimes mes couleurs fantaisistes ?
\nb[OURHERO]Yes, it's very nice!;\nb[NOSTROEROE]Sì, molto carino!;\nb[NUESTROHEROE]Si, es muy agradable!;\nb[NOTREHEROS]Oui, c'est très sympa !
\nb[OURHERO]What are you keeping in your hand?;\nb[NOSTROEROE]Cosa tieni lì in mano?;\nb[NUESTROHEROE]Que tienes en tu mano?;\nb[NOTREHEROS]Qu'as-tu entre tes mains ?
\nb[SAGE]It's a staff!;\nb[SAGGIO]È una bacchetta magica!;\nb[SABIO]Es una varita mágica!;\nb[SAGE]C'est une baguette !
\nb[SAGE]Have you ever seen a sage without a magic staff?;\nb[SAGGIO]Hai mai visto un saggio senza la sua bacchetta§magica?;\nb[SABIO]Has visto alguna vez un sabio sin su varita mágica?;\nb[SAGE]Tu as déjà vu un mage sans sa baguette magique ?
\nb[OURHERO]Yes.;\nb[NOSTROEROE]Sì.;\nb[NUESTROHEROE]Si.;\nb[NOTREHEROS]Oui.
\nb[OURHERO]The other sages are trying to open the gate to§Finalboss Castle, but they're a bit, well,§understaffed.;\nb[NOSTROEROE]Eheh, gli altri saggi senza bacchetta magica ti§starebbero aspettando per aprire il portale del§Castello di Bossfinale...;\nb[NUESTROHEROE]Los otros sabios están intentando abrir el porton§hacia el Castillo de Jefefinal, pero les hace falta§mas personal.;\nb[NOTREHEROS]Les autres sages essaient d'ouvrir le portail du§Château de Bossfinal, mais ils sont un peu, eh bien,§en sous-effectif.
\nb[SAGE]I'm joining them right now!\.§We'll see each other in front of the castle!;\nb[SAGGIO]Li raggiungo subito!\.§Ci vediamo là davanti al castello!;\nb[SABIO]Me uniré a ellos ahora mismo!\.§Nos veremos frente al castillo!;\nb[SAGE]Je me joins à eux tout de suite !\.§On se revoit au pied du château !
