en;it;es;Fr
Enjoy the feast!;Gustatevi il banchetto!;Disfruten el festín!;Profitez de la fête !
\nb[SAGE]Oh, Ourhero...;\nb[SAGGIO]Oh, Nostroeroe...;\nb[SABIO]Oh, Nuestrohéroe...;\nb[SAGE]Oh, Notrehéros...
\nb[SAGE]You did pretty good!;\nb[SAGGIO]Te la sei cavata bene!;\nb[SABIO]Lo has hecho muy bien!;\nb[SAGE]Tu t'es bien débrouillé !
\nb[SAGE]We knew we could counting on you!;\nb[SAGGIO]Sapevamo di poter contare su di te!;\nb[SABIO]Sabíamos que podiamos contar contigo!;\nb[SAGE]On savait qu'on pouvait compter sur toi !
\nb[SAGE]Without you that scoundrel would have taken control§of the whole world!;\nb[SAGGIO]Senza di te quel pazzo avrebbe preso il controllo del§mondo intero!;\nb[SABIO]Sin ti, ese sinvergüenza habría tomado el control§del mundo entero.;\nb[SAGE]Sans toi, cette vermine aurait pris le contrôle du§monde entier !
\nb[SAGE]An awesome fight!...\|§They told me has been.;\nb[SAGGIO]Uno scontro eccezionale!...\|§Mi hanno detto che è stato.;\nb[SABIO]Una pelea increíble!...\|§Según me han dicho.;\nb[SAGE]Un combat fantastique !...\|§On m'a dit que ça l'été.
Thank you Ourhero, thank you!;Grazie Nostroeroe, grazie!;Gracias Nuestrohéroe, gracias!;Merci Notrehéros, merci !
\nb[OURHERO]What's so funny?!;\nb[NOSTROEROE]Cosa c'è da ridere?!;\nb[NUESTROHEROE]Que es tan gracioso?!;\nb[NOTREHEROS]Qu'est-ce qu'il y a de drôle ?!
They say the fight against Finalboss was truly epic!;Mi hanno detto che lo scontro contro Bossfinale è§stato più epico che mai!;Dicen que la pelea contra el Jefefinal fue muy épica!;On dit que le combat final contre Bossfinal fut§épique !
Amazing! What would we do without you?;Eccezionale! Come avremmo fatto senza di te?;Asombroso! Que haríamos sin ti?;Incroyable ! Que ferions-nous sans toi ?
We are all proud of you, Ourhero!;Siamo tutti fieri di te, Nostroeroe!;Todos estamos muy orgullosos de ti, Nuestrohéroe!;Nous sommes tous fiers de toi, Notrehéros !
Don't worry about the enemies you killed for once§and enjoy the meal!;Non pensare ai nemici uccisi per una volta e goditi§il banchetto!;No pienses en los enemigos asesinados y disfruta de§la comida!;Ne te préoccupes pas des ennemis que tu as éliminés§pour une fois et bon appétit !
Congratulations Ourhero, you did a very nice job.;Complimenti Nostroeroe, veramente un ottimo§lavoro.;Felicitaciones Nuestrohéroe, hiciste un gran trabajo.;Félicitations, Notrehéros, tu as fait de l'excellent§travail.
Do you want some meat?§I'm eating it right now, but I can make it 15 Dindini§for you!;Vuoi della carne?§15 Dindini per allungarmi e prenderla dal tavolo di§fronte a me!;Quieres un poco de carne?§La estoy comiendo ahora mismo pero puedo§prepararte 15 Dindini!;Désires-tu un peu de viande ?§Je suis en train de la manger, mais je peux te la faire§à 15 Dindini rien que pour toi !
I wish I was there to see the battle!;Quanto avrei voluto assistere alla battaglia!;Ojalá hubiera estado allí para ver la pelea!;J'aurais tellement aimé être là pour voir le combat !
So much delicious food!;Quante cose buone!;¡Tanta comida deliciosa!;Tant de délicieuse nourriture !
\nb[KING]People, a moment of attention please!;\nb[RE]Cittadini, un attimo di attenzione!;\nb[REY]Gente, solicito su atención un momento!;\nb[ROI]Mesdames et Messieurs, un moment d'attention, je§vous prie !
\nb[KING]Here is our hero!;\nb[RE]Ecco a voi il nostro eroe!;\nb[REY]Aquí está nuestro héroe!;\nb[ROI]Voici notre héros!
\nb[KING]The one who defeated millions of enemies and huge§monsters until he opened the way to Finalboss and§wrested the Teorhemas Crystal back from him!;\nb[RE]Colui che ha sconfitto milioni di nemici e mostri§giganti fino ad eliminare Bossfinale e riportare qui§al castello il Cristallo di Teorhemas!;\nb[REY]¡El que derrotó a millones de enemigos y monstruos§enormes hasta dar con el Jefefinal y arrebatarle el§Cristal de Theoremas!;\nb[ROI]Celui qui a vaincu des millions d'ennemis et§d'énormes monstres jusqu'à approcher Bossfinal et§lui arracher le Cristal de Teorhemas !
\nb[KING]Adore him!;\nb[RE]Adoratelo!;\nb[REY]Adóradlo!;\nb[ROI]Qu'il soit loué !
\nb[KING]You can go back to feasting now.;\nb[RE]Riprendete a mangiare.;\nb[REY]Ahora puedes volver a comer.;\nb[ROI]Vous pouvez festoyer.
\nb[OURHERO]Thank you, my sire!;\nb[NOSTROEROE]Grazie, mio sire!;\nb[NUESTROHEROE]Gracias, mi señor!;\nb[NOTREHEROS]Merci, mon seigneur !
