en;it;es;Fr
\c[14]CONGRATULATIONS!§You collected all the swords!;\c[14]COMPLIMENTI!§Hai ottenuto tutte le spade!;\c[14]FELICIDADES!§Has conseguido todas las espadas!;\c[14]FELICITATIONS !§Tu as trouvé toutes les épées !
;;;
\c[14]CONGRATULATIONS!§You completed the Characters Gallery!;\c[14]COMPLIMENTI!§Hai completato la Galleria dei Personaggi!;\c[14]FELICIDADES!§Has completado la Galería de Personajes!;\c[14]FELICITATIONS !§Tu as complété la Galerie de Personnages !
;;;
\c[14]BOSS OF THE CASTLE§Who does he think he is, he's just the first boss...;\c[14]BOSS DEL CASTELLO§Chi si crede di essere, era solo il primo boss...;\c[14]JEFE DEL CASTILLO§Quién se cree que es, es solo el primer jefe...;\c[14]BOSS DU CHATEAU§Pour qui se prend-il, c'est juste le premier boss...
\c[14]FOREST BOSS ARM§The boss of the forest was too big to make a trophy§of, so here's one of his arms instead.;\c[14]BRACCIO BOSS FORESTA§Dato che l'intero boss della foresta era difficile da§far stare su una casellina, eccovi un suo braccio.;\c[14]BRAZO DEL JEFE DEL BOSQUE§El jefe del bosque era demasiado grande para hacer§un trofeo, así que aquí tienes uno de sus brazos.;\c[14]BRAS DU BOSS DE LA FORET§Le boss de la forêt était trop gros pour en faire un§trophée donc voici un de ses bras à la place.
\c[14]WILD VALLEY BOSS§This boss was animated from the leftover wine in§a broken bottle.;\c[14]BOSS VALLE SELVAGGIA§Sostanza proveniente da una bottiglia di vino.§Caduta in terra.;\c[14]JEFE DEL VALLE SALVAJE§Este jefe fue animado por el vino sobrante en una§botella rota.;\c[14]BOSS DE LA VALLEE SAUVAGE§Ce boss a été animé à partir du vin en provenance§d'un fond de bouteille brisée.
\c[14]WATER CITY BOSS;\c[14]BOSS CITTA' DELL'ACQUA;\c[14]JEFE DE CIUDAD DE AGUA;\c[14]BOSS DE LA CITE DE L'EAU
\c[14]DESERT BOSS§A cybernetic enemy augmented in mysterious ways§by the wild energy of the Teorhemas Crystal.;\c[14]BOSS DESERTO§Un nemico cybernetico venuto fuori da chissà quale§magia del Cristallo di Teorhemas.;\c[14]JEFE DEL DERIERTO§Un enemigo cibernético aumentado de formas§misteriosas por la energía salvaje del Cristal de§Teorhemas.;\c[14]BOSS DU DESERT§Un ennemi cybernétique amélioré de façon§mystérieuse par l'incroyable énergie du Cristal de§Teorhemas.
\c[14]VOLCANO BOSS§Here we have a smaller version of the giant worm§from the Volcano Depth.;\c[14]BOSS VULCANO;\c[14]JEFE VOLCANICO§Aquí tienes una versión más pequeña del gusano§gigante de la profundidad del volcán.;\c[14]BOSS DU VOLCAN§Ici nous avons une version mini du vers géant des§Profondeurs du Volcan.
