en;it;es;Fr
\nb[KING]Please address me from the front.;\nb[RE]Mi si parla di fronte.;\nb[REY]Háblame de frente por favor.;\nb[ROI]Je t'en prie, parle franchement.
\nb[KING]Oh, here you are Ourhero!;\nb[RE]Oh, eccoti Nostroeroe!;\nb[REY]Oh, aquí estás Nuestrohéroe!;\nb[ROI]Ah, te voilà Notrehéros !
\nb[OURHERO]Why are you on a carpet?;\nb[NOSTROEROE]Cosa ci fai su un tappeto?;\nb[NUESTROHEROE]¿Qué haces en una alfombra?;\nb[NOTREHEROS]Que fais-tu sur un tapis ?
\nb[KING]I can't not stay on a carpet.;\nb[RE]Io non posso non stare su un non tappeto.;\nb[REY]No puedo evitar estar parado sobre una alfombra.;\nb[ROI]Je ne peux pas ne pas rester sur le tapis.
\nb[OURHERO]What?;\nb[NOSTROEROE]Eh?;\nb[NUESTROHEROE]Qué?;\nb[NOTREHEROS]Hein ?
\nb[KING]What?;\nb[RE]Cosa?;\nb[REY]Qué?;\nb[ROI]De quoi ?
\nb[OURHERO]I don't get it.;\nb[NOSTROEROE]Non ho capito.;\nb[NUESTROHEROE]No entiendo.;\nb[NOTREHEROS]Je ne comprends pas.
\nb[KING]As I was saying...\|§My soldiers saw someone escaping over there...§Holding the Teorhemas Crystal!;\nb[RE]Dicevamo...\|§Le mie guardie hanno visto scappare qualcuno da§questa parte... Con il Cristallo di Teorhemas in mano!;\nb[REY]Como estaba diciendo...\|§Mis soldados vieron a alguien esacapando por allí...§Con el Cristal de Theoremas en la mano!;\nb[ROI]Comme je disais...\|§Mes soldats ont aperçu quelqu'un s'échapper par là...§Avec le Cristal de Teorhemas !
\nb[KING]Anyway, you have to catch him before he gets away§with the crystal!;\nb[RE]Chiunque sia devi raggiungerlo al più presto, prima§che si allontani troppo con il nostro cristallo!;\nb[REY]Como sea, tienes que atraparlo antes que se escape§con el cristal!;\nb[ROI]De toute façon, tu dois le rattraper avant qu'il ne§s'enfuie avec le cristal !
\nb[KING]The problem is... they blocked the way with these§heavy rocks...§Even your Revolt Sword can't destroy them!;\nb[RE]Però... Hanno bloccato il passaggio con queste§robustissime rocce...§Nemmeno la tua Spada della Rivolta può§distruggerle!;\nb[REY]Pero... el problema es que bloquearon el camino con§esas rocas robustas...§Ni siquiera tu Espada de Revuelta puede destruirlas!;\nb[ROI]Le problème est...qu'ils ont bloqué le chemin avec§ces lourds rochers...§Même ton Epée de la Révolte ne les brisera pas !
\nb[KING]You should upgrade your sword.\.§My blacksmiths will be able to assist you!\|§Come on Ourhero, we're counting on you!;\nb[RE]Dovresti potenziare la tua spada.\.§I miei armaioli potranno esserti d'aiuto!\|§Forza Nostroeroe, contiamo su di te!;\nb[REY]Deberías mejorar tu espada.\.§¡Mis herreros podrán ayudarte!\|§Vamos, Nuestrohéroe, contamos contigo!;\nb[ROI]Tu devrais améliorer ton épée.\.§Mon forgeron t'aidera!\|§Allez, Notrehéros ! Nous comptons sur toi !
\nb[KING]If only you could find a way to upgrade your§Revolt Sword...§Then you will be able to destroy those rocks which§block the way!;\nb[RE]Se solo trovassi un modo per potenziare la tua§Spada della Rivolta...§Saresti poi in grado di distruggere queste rocce che§bloccano il passaggio!;\nb[REY]Si tan solo pudieras encontrar una manera de§mejorar tu Espada de Revuelta...§¡Entonces podrías destruir estas rocas que bloquean§el camino!;\nb[ROI]Si seulement tu pouvais trouver un moyen§d'améliorer ton Epée de la Révolte...§Alors tu pourrais détruire ces rochers qui bloque§ton passage !
