en;it;es;Fr
Foxes Desert;Deserto dei Volpini;Desierto de Zorros;Désert des Renards
Volcanic Depths;Profondità del Vulcano;Profundidades Volcánicas;Profondeurs Volcaniques
Eternal Glaciers;Ghiacciai Perenni;Glaciares Eternos;Glaciers Eternels
Dark Forest;Foresta Oscura;Bosque Oscuro;Forêt Obscure
\nb[SAGE]Go to free the other sages first, you are not ready§for the Dark Forest yet!;\nb[SAGGIO]Pensa prima a liberare gli altri saggi, non sei§ancora pronto per entrare nella Foresta Oscura!;\nb[SABIO]Ve a liberar a los otros sabios primero, todavía no§estáis listo para el Bosque Oscuro!;\nb[SAGE]Libère d'abord les autres sages, tu n'es pas encore§prêt pour la Forêt Obscure !
Do you know that with your big swords you can§destroy small objects?;Sai che con i tuoi spadoni puoi distruggere dei§piccoli oggetti?;Sabes que con tus grandes espadas puedes destruir§pequeños objetos?;Sais-tu qu'avec ta grande épée tu peux détruire§de petits objets ?
You should try it! You may find something inside!;Provaci! Magari ci trovi dentro qualcosa!;Deberías intentarlo! Puedes encontrar algo dentro!;Tu devrais essayer ! Tu pourrais trouver quelque§chose à l'intérieur !
\nb[SAGE]Ourhero, you have to free the other sages in order§to let them use their magic to unlock the gate of§the castle!;\nb[SAGGIO]Nostroeroe, devi liberare gli altri saggi in modo che§possano utilizzare la loro magia per sbloccare il§portale del castello!;\nb[SABIO]Nuestrohéroe, tienes que liberar a los demás sabios§para que puedan usar su magia para abrir el portón§del Castillo!;\nb[SAGE]Notrehéros, tu dois libérer les autres sages afin de§les laisser utiliser leur magie pour libérer la grille§du château !
\nb[SAGE]Come on, just one more sage to free!;\nb[SAGGIO]Forza, ti resta l'ultimo saggio da liberare!;\nb[SABIO]Vamos, tienes que salvar solo un sabio más!;\nb[SAGE]Allez, plus qu'un sage à libérer !
\nb[SAGE]Let's do it, Ourhero!;\nb[SAGGIO]Fagli vedere quello che sei, Nostroeroe!;\nb[SABIO]Hagámoslo, Nuestrohéroe!;\nb[SAGE]Allons-y, Notrehéros !
\nb[SAGE]The power of one sage isn't enough to open that§gate.§You need to find the rest of us!;\nb[SAGGIO]Da soli non siamo in grado di aprire il portale.§Serve la forza di tutti i saggi!;\nb[SABIO]El poder de un solo sabio no es suficiente para abrir§ese portón.§Tienes que encontrar al resto de nosotros!;\nb[SAGE]Le pouvoir du sage est insuffisant pour ouvrir ce§portail.§Tu dois trouver les autres sages !
\nb[SAGE]One more sage is left!;\nb[SAGGIO]Ti resta ancora un saggio!;\nb[SABIO]Queda un sabio más!;\nb[SAGE]Il reste encore un sage !
\nb[SAGE]We're all with you, come on!;\nb[SAGGIO]Siamo tutti con te, forza!;\nb[SABIO]Estamos todos contigo, vamos!;\nb[SAGE]On est tous avec toi, allez !
\nb[SAGE]Come on, step by step we'll do it!;\nb[SAGGIO]Forza, piano piano ce la faremo!;\nb[SABIO]Vamos, paso a paso lo haremos!;\nb[SAGE]Courage, petit à petit on va y arriver !
\nb[SAGE]Find the last sage and set him free!;\nb[SAGGIO]Vai a liberare l'ultimo di noi saggi!;\nb[SABIO]Encuentra al último sabio y libéralo!;\nb[SAGE]Trouve le dernier sage et libère-le !
\nb[SAGE]Finalboss is all yours!;\nb[SAGGIO]Bossfinale è tutto tuo!;\nb[SABIO]El Jefefinal es todo tuyo!;\nb[SAGE]Bossfinal est tout à toi !
\nb[SAGE]The castle's gate is open!;\nb[SAGGIO]La porta del castello è aperta!;\nb[SABIO]El portón del castillo está abierto!;\nb[SAGE]La grille du château est ouverte !
\nb[SAGE]Here I am, as promised!;\nb[SAGGIO]Ed eccomi qui, come promesso!;\nb[SABIO]Aquí estoy, como prometí!;\nb[SAGE]Me voici, comme promis !
\nb[SAGE]We're almost there!;\nb[SAGGIO]Ormai è fatta!;\nb[SABIO]Ya casi estamos!;\nb[SAGE]On y est presque !
\nb[SAGE]Go and bring the Teorhemas Crystal back!;\nb[SAGGIO]Riprenditi il Cristallo di Teorhemas!;\nb[SABIO]Ve y trae el Cristal de Theoremas de vuelta!;\nb[SAGE]Va et rapporte le Cristal de Teorhemas !
\nb[OURHERO]Something's not right here.;\nb[NOSTROEROE]Qui c'è qualcosa che non va.;\nb[NUESTROHEROE]Algo anda mal aquí.;\nb[NOTREHEROS]Il y a quelque chose qui cloche ici.
\nb[OURHERO]But I don't know what!\|§A dark castle sorrounded by purple lava...\.§Uhm... It might be the Finalboss castle!;\nb[NOSTROEROE]Ma non capisco cosa!\|§Castello oscuro circondato da lava viola...\.§Uhm... Probabilmente è il castello di Bossfinale!;\nb[NUESTROHEROE]Pero no se qué!\|§Un oscuro castillo rodeado por lava púrpura...\.§Uhm... debe ser el Castillo de Jefefinal!;\nb[NOTREHEROS]Mais je ne sais pas quoi !\|§Un obscure château entouré de lave pourpre...\.§Euh... Ça pourrait être le château de Bossfinal !
\nb[OURHERO]I have to find a way to get inside, that crook has§our Teorhemas Crystal!;\nb[NOSTROEROE]Devo capire come entrarci, quel maledetto ha il§nostro Cristallo di Teorhemas!;\nb[NUESTROHEROE]Tengo que encontrar la manera de entrar, ese ladrón§tiene nuestro Cristal de Theoremas!;\nb[NOTREHEROS]Je dois trouver un moyen de pénétrer à l'intérieur,§cet escroc a notre Cristal de Teorhemas !
\nb[OURHERO]What is that on your head?;\nb[NOSTROEROE]Cos'hai in testa?!;\nb[NUESTROHEROE]Que tienes en la cabeza?;\nb[NOTREHEROS]Qu'avez-vous sur la tête ?
A hat.;Una bandana.;Un pañuelo.;Un chapeau.
\nb[OURHERO]Ah, cute!;\nb[NOSTROEROE]Ah, carina!;\nb[NUESTROHEROE]Ah, lindo!;\nb[NOTREHEROS]Ah, mignon !
Eheh!;Eheh!;Eheh!;Eheh!
Look!;Guarda!;Mira!;Regarde !
\nb[OURHERO]Wow!;\nb[NOSTROEROE]Wow!;\nb[NUESTROHEROE]Wow!;\nb[NOTREHEROS]Ouah !
\nb[OURHERO]So... what?;\nb[NOSTROEROE]E quindi?;\nb[NUESTROHEROE]Entonces... que?;\nb[NOTREHERO]Eh... alors ?
