en;it;es;Fr
You've killed \v[2] enemies so far.;Finora hai ucciso \v[2] nemici.;Has matado \v[2] enemigos hasta ahora.;Tu as tué \v[2] ennemis jusque là.
You deserve a reward for having killed all these§enemies!;Meriti un premio per avere sconfitto tutti questi§cattivi!;Te mereces una recompensa por haber matado a§todos esos enemigos!;Tu mérites une récompense pour t'être débarrassé de§ces ennemis !
Defeat \v[35] enemies and I will give you a reward!;Sconfiggi \v[35] cattivi e ti darò un premio!;Derrota a \v[35] enemigos y te daré una recompensa!;Elimine \v[35] ennemis et tu auras ta récompense !
I can't believe it! You deserve the reward!;Incredibile! Meriti il premio!;No puedo creerlo! Te mereces la recompensa!;J'y crois pas ! Tu mérites ta récompense !
To win the last prize you have to unlock all the§characters in the Characters Gallery!;Per guadagnarti l'ultimo premio devi ottenere tutti§i personaggi nella Galleria dei Personaggi!;Para ganar el último premio tienes que desbloquear§todos los personajes en la Galería de Personajes!;Pour gagner le dernier prix tu dois débloquer tous les§personnages dans la Galerie des Personnages !
To win the last prize you have to kill \v[35] enemies,§finish the story and unlock all the characters in the§Characters Gallery!;Per guadagnarti l'ultimo premio devi sconfiggere§\v[35] cattivi, completare il gioco e ottenere tutti i§personaggi nella Galleria dei Personaggi!;Para ganar el último premio tienes que matar \v[35]§enemigos, terminar la historia y desbloquear§todoslos personajes en la Galería de Personajes!;Pour gagner le dernier prix, tu dois éliminer \v[35]§ennemis, finis la quête et débloque les personnages§dans la Galerie des Personnages !
My friend, I do not have any other rewards left for§you!§But I can tell you that you killed \v[2] enemies so far.;Ragazzo, non ho più premi da darti!§Ma posso dirti che hai ucciso \v[2] nemici.;Vaya! Ya no tengo mas recompensas para darte!§Pero puedo decirte que has matado a \v[2] enemigos§hasta ahora.;Mon ami, je n'ai plus de récompense pour-toi!§Mais je peux te dire que tu as éliminé \v[2] ennemis§jusque là.
Do you know what happened to the castle?;Sai cos'è successo nel castello?;Sabes que le pasó al castillo?;Sais-tu ce qui est arrivé au château ?
\nb[OURHERO]Someone stole the Teorhemas Crystal!;\nb[NOSTROEROE]Hanno rubato il Cristallo di Teorhemas!;\nb[NUESTROHEROE]Alguien robó el Cristal de Theoremas!;\nb[NOTREHEROS]Quelqu'un à volé le Cristal de Teorhemas !
Wow, a mighty warrior!§Where did you find that huge sword?;Wooo un potente guerriero!§Dove hai preso quella spada gigante?;Wow, un poderoso guerrero!§Dónde has encontrado esa gran espada?;Ouah, un puissant guerrier !§Où as-tu trouvé cette épée gigantesque ?
