en;it;es;Fr
\nb[OURHERO]What happened here?;\nb[NOSTROEROE]Cos'è successo qui?;\nb[NUESTROHEROE]¿Que ha pasado aquí?;\nb[NOTREHEROS]Que s'est-il passé ici ?
Buahaha! Who are you?!\|§Another one of those guys who thinks can defeat us?;Buahaha e tu chi saresti?!\|§Uno dei tanti poveracci che tentano ancora di§fermarci?;Buahaha! Quién eres?!\|§Otro de esos tipos que cree que puede derrotarnos?;Ah, ah, ah ! Qui es-tu ?!\|§Un autre de ces misérables qui pense pouvoir nous§vaincre ?
If so, it will end badly for you, just like them!;Se è così finirai come loro.\. Morto!;Si es así, terminará mal para ti, al igual que ellos!;Si tel est le cas, cela va mal se terminer pour toi,§comme pour les autres !
KILL HIM!;UCCIDETELO!;¡MATENLO!;TUEZ-LE !
Buahahah! If you think it will be easy to get rid of us§you are totally wrong!;Buahahah! Non credere sia così semplice sbarazzarti§di noi!;Buahahah! Si crees que será facil deshacerte de§nosotros estas ,muy equivocado!;Ah, ah, ah ! Si tu penses pouvoir te débarrasser de§nous si facilement tu te trompes grandement !
This is now our Kingdom!\.§With the Teorhemas Crystal on our side, everyone in§the world will be afraid of us!;Ormai questo è il nostro regno!\.§Con il Cristallo di Teorhemas dalla nostra parte, in§ogni parte del mondo tremeranno di paura di fronte§a noi!;¡Este es ahora nuestro reino!\.§Con el Cristal de Theoremas de nuestro lado, todos§en el mundo nos tendrán miedo!;Ceci est maintenant notre Royaume !\.§Avec le Cristal de Teorhemas de notre côté, le monde§entier nous craindra !
Enough! No more sending those good­for­nothing§grunts after you!;Basta, sono stufo di mandarti contro dei buoni a§nulla!;¡Suficiente! Basta de enviar esos gruñidos buenos§para nada detrás de ti!;Assez ! Arrêtez d'envoyer ces bons à rien de§troufions après toi !
You'll be a pushover just like every other soldier in§this castle!;Di certo non sarai più forte di tutti gli altri soldati§in questo castello!;¡Serás una presa fácil como cualquier otro soldado§en este castillo!;Tu ne seras pas plus gênant qu'un de ces soldats du§château !
Now you'll get it from me!;Ora te la vedrai con me!;¡Ahora te las verás conmigo!;Maintenant, en voici une de ma part !
\nb[OURHERO]I defeated everyone!;\nb[NOSTROEROE]Ho fatto fuori tutti!;\nb[NUESTROHEROE]¡He vencido a todos!;\nb[NOTREHEROS]J'ai vaincu !
\nb[OURHERO]The problem is there's no sign of the crystal...;\nb[NOSTROEROE]Però non c'è traccia del cristallo...;\nb[NUESTROHEROE]El problema es que no hay rastros del cristal...;\nb[NOTREHEROS]Le problème, c'est qu'il n'y a aucun signe du cristal...
